session,name,date,url
2023,SPECIAL ELECTION,2023-11-30,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2023
2023,PRIMARY ELECTION,2024-03-05,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2023
2023,GENERAL ELECTION,2024-11-05,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2023
2021,SPECIAL ELECTION,2021-03-02,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2021-04-06,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2021-05-18,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2021-06-29,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2021-07-13,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2021-09-14,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2021-09-30,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-01-01,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-02-15,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-02-15,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-04-05,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-04-05,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-04-05,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-05-16,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,PRIMARY ELECTION,2022-06-07,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,SPECIAL ELECTION,2022-09-26,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2021,GENERAL ELECTION,2022-11-08,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2021
2019,SPECIAL ELECTION,2019-03-26,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2019
2019,SPECIAL ELECTION,2019-03-26,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2019
2019,SPECIAL ELECTION,2019-05-16,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=incumbent&session=2019
