id,session,category,office,name,url
1224716,2021,SENATE DISTRICTS,STATE SENATE 01,"DAHLE, BRIAN",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1224716
1359048,2021,SENATE DISTRICTS,STATE SENATE 03,"DODD, BILL",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1359048
1337454,2021,SENATE DISTRICTS,STATE SENATE 05,"EGGMAN, SUSAN",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1337454
1355210,2021,SENATE DISTRICTS,STATE SENATE 07,"GLAZER, STEVEN",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1355210
1303644,2021,SENATE DISTRICTS,STATE SENATE 09,"SKINNER, NANCY",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1303644
1376435,2021,SENATE DISTRICTS,STATE SENATE 11,"WIENER, SCOTT D.",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1376435
1322582,2021,SENATE DISTRICTS,STATE SENATE 13,"BECKER, JOSH",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1322582
1004970,2021,SENATE DISTRICTS,STATE SENATE 15,"CORTESE, DAVID DOMINIC",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1004970
1226901,2021,SENATE DISTRICTS,STATE SENATE 17,"LAIRD, JOHN S.",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1226901
1375717,2021,SENATE DISTRICTS,STATE SENATE 19,"LIMON, S. MONIQUE",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1375717
1339656,2021,SENATE DISTRICTS,STATE SENATE 21,"WILK, SCOTT T.",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1339656
1417879,2021,SENATE DISTRICTS,STATE SENATE 23,"BOGH, ROSILICIE OCHOA",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1417879
1267043,2021,SENATE DISTRICTS,STATE SENATE 25,"PORTANTINO, ANTHONY",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1267043
1374151,2021,SENATE DISTRICTS,STATE SENATE 27,"STERN, HENRY",https://cal-access.sos.ca.gov/Campaign/Candidates/Detail.aspx?session=2021&id=1374151
