election_name,name,url,proposition_id,proposition_name,position,id
"NOVEMBER 8, 2016, GENERAL","YES ON 67 - PROTECT THE PLASTIC BAG BAN, SPONSORED BY ENVIRONMENTAL AND OCEAN PROTECTION ORGANIZATIONS, BUSINESSES INCLUDING GROCERS AND REUSABLE BAG MAKERS, AND OTHER NONPROFIT ORGANIZATIONS",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1372900&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,SUPPORT,1372900
"NOVEMBER 8, 2016, GENERAL","AMERICAN PROGRESSIVE BAG ALLIANCE, A PROJECT OF THE SOCIETY OF THE PLASTICS INDUSTRY (NON-PROFIT 501 (C) (6)), YES ON 65 AND NO ON 67",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1372902&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,OPPOSE,1372902
"NOVEMBER 8, 2016, GENERAL","SAVE THE BAG BAN, YES ON 67, SPONSORED BY ENVIRONMENT CALIFORNIA",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1329332&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,SUPPORT,1329332
"NOVEMBER 8, 2016, GENERAL",YES ON 67 - CALIFORNIANS AGAINST WASTE - PROTECT THE PLASTIC BAN (NON-PROFIT 501 (C) (4)),http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1374885&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,SUPPORT,1374885
"NOVEMBER 8, 2016, GENERAL",CALIFORNIA GROCERS ASSOCIATION ISSUES COMMITTEE (NON-PROFIT 501(C) 6): YES ON PROPOSITION 67,http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1346973&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,SUPPORT,1346973
"NOVEMBER 8, 2016, GENERAL",SAVE THE BAY ACTION FUND PAC - YES ON PROP 67,http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1381938&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,SUPPORT,1381938
"NOVEMBER 8, 2016, GENERAL",SAVE THE BAY ACTION FUND COMMITTEE TO SUPPORT PROPOSITION 67,http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1389817&session=2015,1372638,PROPOSITION 067- REFERENDUM TO OVERTURN BAN ON SINGLE-USE PLASTIC BAGS.,SUPPORT,1389817
"NOVEMBER 8, 2016, GENERAL","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION TRUTH IN AMERICAN GOVERNMENT FUND; NO ON PROPOSITION 62, YES ON PROPOSITION 66 (NON-PROFIT 501 (C) 5)",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1302403&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,SUPPORT,1302403
"NOVEMBER 8, 2016, GENERAL","CALIFORNIANS TO MEND, NOT END, THE DEATH PENALTY. NO ON PROP 62, YES ON PROP 66. SUPPORTED BY PROSECUTORS, LAW ENFORCEMENT, AND FAMILIES OF VICTIMS.",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1346266&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,SUPPORT,1346266
"NOVEMBER 8, 2016, GENERAL","PROTEUS ACTION LEAGUE NON-PROFIT 501 (C)(4) ORGANIZATION, OPPOSING MEASURE 66 AND SUPPORTING MEASURES 54 AND 59",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1386494&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,OPPOSE,1386494
"NOVEMBER 8, 2016, GENERAL","LOS ANGELES POLICE PROTECTIVE LEAGUE ISSUES PAC - YES ON 66, NO ON 57",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1336580&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,SUPPORT,1336580
"NOVEMBER 8, 2016, GENERAL","YES ON 62, NO ON 66. REPLACE THE COSTLY, FAILED DEATH PENALTY SYSTEM. SPONSORED BY TAXPAYERS FOR SENTENCING REFORM",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1380590&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,OPPOSE,1380590
"NOVEMBER 8, 2016, GENERAL","NO ON PROP 66, CALIFORNIANS FOR FAIR JUSTICE, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1383946&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,OPPOSE,1383946
"NOVEMBER 8, 2016, GENERAL","MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1391170&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,OPPOSE,1391170
"NOVEMBER 8, 2016, GENERAL","SAN FRANCISCO POLICE OFFICERS ASSOCIATION ISSUES PAC - YES ON 66, NO ON 62",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1317554&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,SUPPORT,1317554
"NOVEMBER 8, 2016, GENERAL",FUND FOR POLICY REFORM (NONPROFIT 501(C)(4)),http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1385745&session=2015,1381724,PROPOSITION 066- DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,OPPOSE,1385745
"NOVEMBER 8, 2016, GENERAL","AMERICAN PROGRESSIVE BAG ALLIANCE, A PROJECT OF THE SOCIETY OF THE PLASTICS INDUSTRY (NON-PROFIT 501 (C) (6)), YES ON 65 AND NO ON 67",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1372902&session=2015,1381520,PROPOSITION 065- CARRY-OUT BAGS. CHARGES. INITIATIVE STATUTE.,SUPPORT,1372902
"NOVEMBER 8, 2016, GENERAL","YES ON 64, CALIFORNIANS TO CONTROL, REGULATE AND TAX ADULT USE OF MARIJUANA WHILE PROTECTING CHILDREN, SPONSORED BY BUSINESS, PHYSICIANS, ENVIRONMENTAL AND SOCIAL-JUSTICE ADVOCATE ORGANIZATIONS",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1381808&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1381808
"NOVEMBER 8, 2016, GENERAL","SAM ACTION, INC., A COMMITTEE AGAINST PROPOSITION 64 WITH HELP FROM CITIZENS (NONPROFIT 501 (C)(4))",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1387789&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,OPPOSE,1387789
"NOVEMBER 8, 2016, GENERAL","PUBLIC AND MENTAL HEALTH ADVOCATES AGAINST 64, SPONSORED AND MAJOR FUNDING BY SAM ACTION, INC. AND CALIFORNIA PUBLIC SAFETY INSTITUTE",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1382568&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,OPPOSE,1382568
"NOVEMBER 8, 2016, GENERAL","MARIJUANA POLICY PROJECT OF CALIFORNIA, YES ON 64",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1371855&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1371855
"NOVEMBER 8, 2016, GENERAL",FUND FOR POLICY REFORM (NONPROFIT 501(C)(4)),http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1385745&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1385745
"NOVEMBER 8, 2016, GENERAL","DRUG POLICY ACTION - NON PROFIT 501C4, YES ON PROP. 64",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1385506&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1385506
"NOVEMBER 8, 2016, GENERAL",MOMS STRONG AGAINST PROP 64,http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1390962&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,OPPOSE,1390962
"NOVEMBER 8, 2016, GENERAL","CALIFORNIANS FOR RESPONSIBLE MARIJUANA REFORM, SPONSORED BY DRUG POLICY ACTION, YES ON PROP. 64",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1343793&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1343793
"NOVEMBER 8, 2016, GENERAL",ADULT USE CAMPAIGN FOR PROPOSITION 64; THE,http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1386560&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1386560
"NOVEMBER 8, 2016, GENERAL",NEW APPROACH PAC (MPO),http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1382525&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1382525
"NOVEMBER 8, 2016, GENERAL","CALIFORNIANS FOR SENSIBLE REFORM, SPONSORED BY GHOST MANAGEMENT GROUP, LLC DBA WEEDMAPS",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1376077&session=2015,1381868,PROPOSITION 064- MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,SUPPORT,1376077
"NOVEMBER 8, 2016, GENERAL","COALITION FOR CIVIL LIBERTIES - NO ON 63, A PROJECT OF CALIFORNIA RIFLE & PISTOL ASSOCIATION",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1382067&session=2015,1381803,PROPOSITION 063- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,OPPOSE,1382067
"NOVEMBER 8, 2016, GENERAL","VETO GUNMAGEDDON, CITIZENS WHO ARE OPPOSED TO PROPOSITION 63, ASSEMBLY BILLS 1135, 1511, 1695, 857 AND SENATE BILLS 880, 1235 AND 1446",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1387279&session=2015,1381803,PROPOSITION 063- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,OPPOSE,1387279
"NOVEMBER 8, 2016, GENERAL","NEWSOM BALLOT MEASURE COMMITTEE; SAFETY FOR ALL, YES ON PROP. 63,",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1380675&session=2015,1381803,PROPOSITION 063- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,SUPPORT,1380675
"NOVEMBER 8, 2016, GENERAL","STOP PROP 63, A GRASSROOTS, COMMON-SENSE EFFORT FOR RATIONAL POLICY SPONSORED BY FIREARMS POLICY COALITION",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1380746&session=2015,1381803,PROPOSITION 063- FIREARMS. AMMUNITION SALES. INTIATIVE STATUTE.,OPPOSE,1380746
"NOVEMBER 8, 2016, GENERAL","CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION TRUTH IN AMERICAN GOVERNMENT FUND; NO ON PROPOSITION 62, YES ON PROPOSITION 66 (NON-PROFIT 501 (C) 5)",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1302403&session=2015,1381268,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,OPPOSE,1302403
"NOVEMBER 8, 2016, GENERAL","YES ON 62, NO ON 66. REPLACE THE COSTLY, FAILED DEATH PENALTY SYSTEM. SPONSORED BY TAXPAYERS FOR SENTENCING REFORM",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1380590&session=2015,1381268,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,SUPPORT,1380590
"NOVEMBER 8, 2016, GENERAL",VOLUNTEERS FOR YES ON 62,http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1390529&session=2015,1381268,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,SUPPORT,1390529
"NOVEMBER 8, 2016, GENERAL","MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",http://cal-access.sos.ca.gov/Misc/Redirector.aspx?id=1391170&session=2015,1381268,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,SUPPORT,1391170
