name,url,year
"NOVEMBER 5, 2024, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2023,2023
"MARCH 5, 2024, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2023,2023
"NOVEMBER 8, 2022, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2021,2021
"SEPTEMBER 14, 2021, SPECIAL ELECTION",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2021,2021
"NOVEMBER 3, 2020, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2019,2019
"MARCH 3, 2020, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2019,2019
"NOVEMBER 6, 2018, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2017,2017
"JUNE 5, 2018, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2017,2017
"JUNE 5, 2018, SPECIAL ELECTION",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2017,2017
"NOVEMBER 8, 2016, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2015,2015
"JUNE 7, 2016, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2015,2015
"NOVEMBER 4, 2014, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2013,2013
"JUNE 3, 2014, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2013,2013
"NOVEMBER 6, 2012, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2011,2011
"JUNE 5, 2012, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2011,2011
"NOVEMBER 2, 2010, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2009,2009
"JUNE 8, 2010, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2009,2009
"MAY 19, 2009, SPECIAL ELECTION",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2009,2009
"NOVEMBER 4, 2008, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2007,2007
"JUNE 3, 2008, RECALL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2007,2007
"JUNE 3, 2008, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2007,2007
"FEBRUARY 5, 2008, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2007,2007
"NOVEMBER 7, 2006, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2005,2005
"JUNE 6, 2006, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2005,2005
"NOVEMBER 8, 2005, SPECIAL ELECTION",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2005,2005
"NOVEMBER 2, 2004, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2003,2003
"MARCH 2, 2004, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2003,2003
"OCTOBER 7, 2003, SPECIAL ELECTION",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2003,2003
"NOVEMBER 5, 2002, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2001,2001
"MARCH 5, 2002, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=2001,2001
"NOVEMBER 7, 2000, GENERAL",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=1999,1999
"MARCH 7, 2000, PRIMARY",https://cal-access.sos.ca.gov/Campaign/Measures/list.aspx?session=1999,1999
